pop1	pop2	fst	weightedFst
D1	D2	0.023055	0.092831
D1	D3	0.014133	0.116865
D1	D4	0.050835	0.098682
D1	S1	0.021838	0.149753
D1	S2	0.015134	0.082650
D2	D3	0.013348	0.109488
D2	D4	0.046140	0.103547
D2	S1	0.021330	0.151749
D2	S2	0.016331	0.092532
D3	D4	0.051670	0.129609
D3	S1	0.017301	0.066914
D3	S2	0.014461	0.108966
D4	S1	0.048851	0.161118
D4	S2	0.065497	0.089605
S1	S2	0.022176	0.114311
