sample,oldName,ID,region,bank,site,date,species,latDD,longDD,depthFt,depthM,depthZone
MGM020,nwgom_008,MGM020,NWGOM,EFGB,EBMeso1,10/29/15,M. cavernosa,27.91102,-93.59668,153,46.6,Mesophotic
MGM021,nwgom_010,MGM021,NWGOM,EFGB,EBMeso1,10/30/15,M. cavernosa,27.91102,-93.59668,148,45.1,Mesophotic
MGM022,nwgom_011,MGM022,NWGOM,EFGB,EBMeso1,10/30/15,M. cavernosa,27.91102,-93.59668,151,46,Mesophotic
MGM023,nwgom_012,MGM023,NWGOM,EFGB,EBMeso1,10/30/15,M. cavernosa,27.91102,-93.59668,151,46,Mesophotic
MGM024.1,nwgom_013,MGM024,NWGOM,EFGB,EBMeso1,10/30/15,M. cavernosa,27.91102,-93.59668,154,46.9,Mesophotic
MGM024.2,nwgom_013.2,MGM024,NWGOM,EFGB,EBMeso1,10/30/15,M. cavernosa,27.91102,-93.59668,154,46.9,Mesophotic
MGM025,nwgom_015,MGM025,NWGOM,EFGB,EBMeso1,10/30/15,M. cavernosa,27.91102,-93.59668,154,46.9,Mesophotic
MGM026,nwgom_016,MGM026,NWGOM,EFGB,EBMeso1,10/30/15,M. cavernosa,27.91102,-93.59668,153,46.6,Mesophotic
MGM027,nwgom_017,MGM027,NWGOM,EFGB,EBMeso1,10/30/15,M. cavernosa,27.91102,-93.59668,150,45.7,Mesophotic
MGM028,nwgom_019,MGM028,NWGOM,EFGB,EBMeso1,10/30/15,M. cavernosa,27.91102,-93.59668,153,46.6,Mesophotic
MGM029,nwgom_020,MGM029,NWGOM,EFGB,EBMeso1,10/30/15,M. cavernosa,27.91102,-93.59668,150,45.7,Mesophotic
MGM030,nwgom_021,MGM030,NWGOM,EFGB,EBMeso1,10/30/15,M. cavernosa,27.91102,-93.59668,148,45.1,Mesophotic
MGM031,nwgom_023,MGM031,NWGOM,EFGB,EBMeso2,8/30/11,M. cavernosa,27.9241,-93.6016,120,36.6,Mesophotic
MGM032,nwgom_024,MGM032,NWGOM,EFGB,EBMeso1,10/29/15,M. cavernosa,27.91102,-93.59668,155,47.2,Mesophotic
MGM033,nwgom_026,MGM033,NWGOM,EFGB,EBMeso2,8/26/11,M. cavernosa,27.9241,-93.6016,120,36.6,Mesophotic
MGM034,nwgom_028,MGM034,NWGOM,EFGB,EBMeso1,10/29/15,M. cavernosa,27.91102,-93.59668,153,46.6,Mesophotic
MGM035,nwgom_030,MGM035,NWGOM,EFGB,EBMeso2,8/30/11,M. cavernosa,27.9241,-93.6016,138,42.1,Mesophotic
MGM036,nwgom_031,MGM036,NWGOM,EFGB,EBShal1,5/4/16,M. cavernosa,27.9114,-93.59821,64,19.5,Shallow
MGM037,nwgom_032,MGM037,NWGOM,EFGB,EBShal1,5/4/16,M. cavernosa,27.9114,-93.59821,66,20.1,Shallow
MGM038.1,nwgom_033,MGM038,NWGOM,EFGB,EBShal1,5/4/16,M. cavernosa,27.9114,-93.59821,67,20.4,Shallow
MGM038.2,nwgom_033.2,MGM038,NWGOM,EFGB,EBShal1,5/4/16,M. cavernosa,27.9114,-93.59821,67,20.4,Shallow
MGM038.3,nwgom_033.3,MGM038,NWGOM,EFGB,EBShal1,5/5/16,M. cavernosa,27.9114,-93.59821,67,20.4,Shallow
MGM039,nwgom_035,MGM039,NWGOM,EFGB,EBShal1,5/4/16,M. cavernosa,27.9114,-93.59821,72,21.9,Shallow
MGM040,nwgom_036,MGM040,NWGOM,EFGB,EBShal1,5/4/16,M. cavernosa,27.9114,-93.59821,74,22.6,Shallow
MGM041,nwgom_037,MGM041,NWGOM,EFGB,EBShal1,10/29/15,M. cavernosa,27.9114,-93.59821,66,20.1,Shallow
MGM042,nwgom_038,MGM042,NWGOM,EFGB,EBShal1,10/29/15,M. cavernosa,27.9114,-93.59821,66,20.1,Shallow
MGM043,nwgom_041,MGM043,NWGOM,EFGB,EBShal1,10/29/15,M. cavernosa,27.9114,-93.59821,70,21.3,Shallow
MGM044,nwgom_042,MGM044,NWGOM,EFGB,EBShal2,10/26/14,M. cavernosa,27.91085,-93.60018,72,21.9,Shallow
MGM045,nwgom_043,MGM045,NWGOM,EFGB,EBShal2,10/26/14,M. cavernosa,27.91085,-93.60018,72,21.9,Shallow
MGM046,nwgom_044,MGM046,NWGOM,EFGB,EBShal2,10/26/14,M. cavernosa,27.91085,-93.60018,70,21.3,Shallow
MGM047,nwgom_045,MGM047,NWGOM,EFGB,EBShal2,10/26/14,M. cavernosa,27.91085,-93.60018,72,21.9,Shallow
MGM048,nwgom_046,MGM048,NWGOM,EFGB,EBShal2,10/26/14,M. cavernosa,27.91085,-93.60018,75,22.9,Shallow
MGM049,nwgom_047,MGM049,NWGOM,EFGB,EBShal3,10/26/14,M. cavernosa,27.90987,-93.60021,74,22.6,Shallow
MGM050,nwgom_048,MGM050,NWGOM,EFGB,EBShal3,10/26/14,M. cavernosa,27.90987,-93.60021,73,22.3,Shallow
MGM051,nwgom_049,MGM051,NWGOM,EFGB,EBShal3,10/26/14,M. cavernosa,27.90987,-93.60021,70,21.3,Shallow
MGM052,nwgom_050,MGM052,NWGOM,EFGB,EBShal3,10/26/14,M. cavernosa,27.90987,-93.60021,71,21.6,Shallow
MGM053,nwgom_051,MGM053,NWGOM,EFGB,EBShal3,10/26/14,M. cavernosa,27.90987,-93.60021,71,21.6,Shallow
MGM054,nwgom_052,MGM054,NWGOM,EFGB,EBShal3,10/26/14,M. cavernosa,27.90987,-93.60021,68,20.7,Shallow
MGM055,nwgom_053,MGM055,NWGOM,EFGB,EBShal4,10/26/14,M. cavernosa,27.90987,-93.59804,65,19.8,Shallow
MGM056,nwgom_054,MGM056,NWGOM,EFGB,EBShal4,10/26/14,M. cavernosa,27.90987,-93.59804,66,20.1,Shallow
MGM057,nwgom_055,MGM057,NWGOM,EFGB,EBShal4,10/26/14,M. cavernosa,27.90987,-93.59804,68,20.7,Shallow
MGM058,nwgom_056,MGM058,NWGOM,EFGB,EBShal4,10/26/14,M. cavernosa,27.90987,-93.59804,66,20.1,Shallow
MGM059,nwgom_058,MGM059,NWGOM,EFGB,EBShal4,10/26/14,M. cavernosa,27.90987,-93.59804,67,20.4,Shallow
MGM060,nwgom_059,MGM060,NWGOM,EFGB,EBShal5,9/10/10,M. cavernosa,27.90956,-93.60139,72,21.9,Shallow
MGM061,nwgom_060,MGM061,NWGOM,EFGB,EBShal6,10/26/14,M. cavernosa,27.91085,-93.60018,74,22.6,Shallow
MGM062,nwgom_062,MGM062,NWGOM,WFGB,WBMeso1,5/4/16,M. cavernosa,27.8751,-93.82035,142,43.3,Mesophotic
MGM063,nwgom_063,MGM063,NWGOM,WFGB,WBMeso1,5/5/16,M. cavernosa,27.8751,-93.82035,140,42.7,Mesophotic
MGM064,nwgom_064,MGM064,NWGOM,WFGB,WBMeso1,5/5/16,M. cavernosa,27.8751,-93.82035,137,41.8,Mesophotic
MGM065,nwgom_065,MGM065,NWGOM,WFGB,WBMeso1,5/5/16,M. cavernosa,27.8751,-93.82035,141,43,Mesophotic
MGM066,nwgom_066,MGM066,NWGOM,WFGB,WBMeso1,5/5/16,M. cavernosa,27.8751,-93.82035,140,42.7,Mesophotic
MGM067,nwgom_067,MGM067,NWGOM,WFGB,WBMeso1,10/28/15,M. cavernosa,27.8751,-93.82035,141,43,Mesophotic
MGM068,nwgom_068,MGM068,NWGOM,WFGB,WBMeso1,10/28/15,M. cavernosa,27.8751,-93.82035,140,42.7,Mesophotic
MGM069,nwgom_069,MGM069,NWGOM,WFGB,WBMeso1,10/28/15,M. cavernosa,27.8751,-93.82035,142,43.3,Mesophotic
MGM070,nwgom_070,MGM070,NWGOM,WFGB,WBMeso1,10/28/15,M. cavernosa,27.8751,-93.82035,139,42.4,Mesophotic
MGM071,nwgom_071,MGM071,NWGOM,WFGB,WBMeso1,10/28/15,M. cavernosa,27.8751,-93.82035,148,45.1,Mesophotic
MGM072.1,nwgom_072,MGM072,NWGOM,WFGB,WBMeso1,10/28/15,M. cavernosa,27.8751,-93.82035,144,43.9,Mesophotic
MGM072.2,nwgom_072.2,MGM072,NWGOM,WFGB,WBMeso1,10/28/15,M. cavernosa,27.8751,-93.82035,144,43.9,Mesophotic
MGM072.3,nwgom_072.3,MGM072,NWGOM,WFGB,WBMeso1,10/28/15,M. cavernosa,27.8751,-93.82035,144,43.9,Mesophotic
MGM073,nwgom_073,MGM073,NWGOM,WFGB,WBMeso1,10/28/15,M. cavernosa,27.8751,-93.82035,143,43.6,Mesophotic
MGM074,nwgom_074,MGM074,NWGOM,WFGB,WBMeso1,10/28/15,M. cavernosa,27.8751,-93.82035,144,43.9,Mesophotic
MGM075,nwgom_075,MGM075,NWGOM,WFGB,WBMeso1,10/28/15,M. cavernosa,27.8751,-93.82035,142,43.3,Mesophotic
MGM076,nwgom_076,MGM076,NWGOM,WFGB,WBMeso1,10/28/15,M. cavernosa,27.8751,-93.82035,145,44.2,Mesophotic
MGM077,nwgom_077,MGM077,NWGOM,WFGB,WBMeso1,10/28/15,M. cavernosa,27.8751,-93.82035,145,44.2,Mesophotic
MGM078,nwgom_078,MGM078,NWGOM,WFGB,WBMeso1,10/28/15,M. cavernosa,27.8751,-93.82035,138,42.1,Mesophotic
MGM079,nwgom_079,MGM079,NWGOM,WFGB,WBMeso1,10/28/15,M. cavernosa,27.8751,-93.82035,147,44.8,Mesophotic
MGM080,nwgom_080,MGM080,NWGOM,WFGB,WBMeso1,10/28/15,M. cavernosa,27.8751,-93.82035,140,42.7,Mesophotic
MGM081,nwgom_081,MGM081,NWGOM,WFGB,WBMeso1,10/28/15,M. cavernosa,27.8751,-93.82035,145,44.2,Mesophotic
MGM082,nwgom_082,MGM082,NWGOM,WFGB,WBMeso1,10/29/15,M. cavernosa,27.8751,-93.82035,148,45.1,Mesophotic
MGM083,nwgom_083,MGM083,NWGOM,WFGB,WBMeso1,10/28/15,M. cavernosa,27.8751,-93.82035,140,42.7,Mesophotic
MGM084,nwgom_084,MGM084,NWGOM,WFGB,WBMeso4,8/29/11,M. cavernosa,27.87371,-93.81655,120,36.6,Mesophotic
MGM085,nwgom_085,MGM085,NWGOM,WFGB,WBMeso4,8/28/11,M. cavernosa,27.87371,-93.81655,130,39.6,Mesophotic
MGM086,nwgom_086,MGM086,NWGOM,WFGB,WBMeso4,8/28/11,M. cavernosa,27.87371,-93.81655,130,39.6,Mesophotic
MGM087,nwgom_087,MGM087,NWGOM,WFGB,WBMeso4,8/27/11,M. cavernosa,27.87371,-93.81655,130,39.6,Mesophotic
MGM088,nwgom_091,MGM088,NWGOM,WFGB,WBShal1,10/28/15,M. cavernosa,27.87429,-93.82033,85,25.9,Shallow
MGM089,nwgom_092,MGM089,NWGOM,WFGB,WBShal1,5/5/16,M. cavernosa,27.87429,-93.82033,78,23.8,Shallow
MGM090,nwgom_093,MGM090,NWGOM,WFGB,WBShal1,10/28/15,M. cavernosa,27.87429,-93.82033,75,22.9,Shallow
MGM091,nwgom_094,MGM091,NWGOM,WFGB,WBShal1,10/28/15,M. cavernosa,27.87429,-93.82033,75,22.9,Shallow
MGM092,nwgom_095,MGM092,NWGOM,WFGB,WBShal1,10/28/15,M. cavernosa,27.87429,-93.82033,77,23.5,Shallow
MGM093,nwgom_096,MGM093,NWGOM,WFGB,WBShal1,10/28/15,M. cavernosa,27.87429,-93.82033,76,23.2,Shallow
MGM094,nwgom_097,MGM094,NWGOM,WFGB,WBShal1,10/28/15,M. cavernosa,27.87429,-93.82033,75,22.9,Shallow
MGM095,nwgom_098,MGM095,NWGOM,WFGB,WBShal1,10/28/15,M. cavernosa,27.87429,-93.82033,76,23.2,Shallow
MGM096,nwgom_099,MGM096,NWGOM,WFGB,WBShal1,10/28/15,M. cavernosa,27.87429,-93.82033,85,25.9,Shallow
MGM097,nwgom_100,MGM097,NWGOM,WFGB,WBShal1,10/28/15,M. cavernosa,27.87429,-93.82033,83,25.3,Shallow
MGM098,nwgom_101,MGM098,NWGOM,WFGB,WBShal1,10/28/15,M. cavernosa,27.87429,-93.82033,76,23.2,Shallow
MGM099,nwgom_103,MGM099,NWGOM,WFGB,WBShal2,10/25/14,M. cavernosa,27.87523,-93.81737,70,21.3,Shallow
MGM100,nwgom_104,MGM100,NWGOM,WFGB,WBShal2,10/25/14,M. cavernosa,27.87523,-93.81737,72,21.9,Shallow
MGM101,nwgom_105,MGM101,NWGOM,WFGB,WBShal2,10/25/14,M. cavernosa,27.87523,-93.81737,72,21.9,Shallow
MGM102,nwgom_106,MGM102,NWGOM,WFGB,WBShal2,10/25/14,M. cavernosa,27.87523,-93.81737,69,21,Shallow
MGM103,nwgom_107,MGM103,NWGOM,WFGB,WBShal3,10/25/14,M. cavernosa,27.87495,-93.81637,68,20.7,Shallow
MGM104,nwgom_108,MGM104,NWGOM,WFGB,WBShal3,10/25/14,M. cavernosa,27.87495,-93.81637,69,21,Shallow
MGM105,nwgom_109,MGM105,NWGOM,WFGB,WBShal3,10/25/14,M. cavernosa,27.87495,-93.81637,70,21.3,Shallow
MGM106,nwgom_110,MGM106,NWGOM,WFGB,WBShal3,10/25/14,M. cavernosa,27.87495,-93.81637,70,21.3,Shallow
MGM107,nwgom_111,MGM107,NWGOM,WFGB,WBShal4,10/25/14,M. cavernosa,27.87582,-93.8164,73,22.3,Shallow
MGM108,nwgom_112,MGM108,NWGOM,WFGB,WBShal4,10/25/14,M. cavernosa,27.87582,-93.8164,74,22.6,Shallow
MGM109,nwgom_113,MGM109,NWGOM,WFGB,WBShal4,10/25/14,M. cavernosa,27.87582,-93.8164,72,21.9,Shallow
MGM110,nwgom_114,MGM110,NWGOM,WFGB,WBShal1,10/28/15,M. cavernosa,27.87429,-93.82033,74,22.6,Shallow
MGM111,nwgom_115,MGM111,NWGOM,WFGB,WBShal2,10/25/14,M. cavernosa,27.87523,-93.81737,71,21.6,Shallow
MGM112,nwgom_116,MGM112,NWGOM,WFGB,WBShal5,9/13/10,M. cavernosa,27.87337,-93.82154,77,23.5,Shallow
MGM113,nwgom_117,MGM113,NWGOM,WFGB,WBShal5,9/13/10,M. cavernosa,27.87337,-93.82154,72,21.9,Shallow
MGM114,nwgom_119,MGM114,NWGOM,WFGB,WBShal2,10/25/14,M. cavernosa,27.87523,-93.81737,70,21.3,Shallow
MGM115,nwgom_120,MGM115,NWGOM,WFGB,WBShal5,9/13/10,M. cavernosa,27.87337,-93.82154,99,30.2,Mesophotic
MGM116,nwgom_121,MGM116,NWGOM,Bright,BBMeso2,5/7/16,M. cavernosa,27.8862,-93.30174,158,48.2,Mesophotic
MGM117,nwgom_122,MGM117,NWGOM,Bright,BBMeso2,5/7/16,M. cavernosa,27.8862,-93.30174,158,48.2,Mesophotic
MGM118,nwgom_123,MGM118,NWGOM,Bright,BBMeso2,5/7/16,M. cavernosa,27.8862,-93.30174,159,48.5,Mesophotic
MGM119,nwgom_124,MGM119,NWGOM,Bright,BBMeso2,5/7/16,M. cavernosa,27.8862,-93.30174,159,48.5,Mesophotic
MGM120,nwgom_125,MGM120,NWGOM,Bright,BBMeso2,5/7/16,M. cavernosa,27.8862,-93.30174,157,47.9,Mesophotic
MGM121,nwgom_126,MGM121,NWGOM,Bright,BBMeso2,5/7/16,M. cavernosa,27.8862,-93.30174,158,48.2,Mesophotic
MGM122,nwgom_127,MGM122,NWGOM,Bright,BBMeso2,5/7/16,M. cavernosa,27.8862,-93.30174,158,48.2,Mesophotic
MGM123,nwgom_129,MGM123,NWGOM,Bright,BBMeso2,5/7/16,M. cavernosa,27.8862,-93.30174,113,34.4,Mesophotic
MGM124,nwgom_130,MGM124,NWGOM,Bright,BBMeso2,5/7/16,M. cavernosa,27.8862,-93.30174,115,35.1,Mesophotic
MGM125,nwgom_131,MGM125,NWGOM,Bright,BBMeso2,5/7/16,M. cavernosa,27.8862,-93.30174,118,36,Mesophotic
MGM126,nwgom_132,MGM126,NWGOM,Bright,BBMeso2,5/7/16,M. cavernosa,27.8862,-93.30174,159,48.5,Mesophotic
MGM127,nwgom_133,MGM127,NWGOM,Bright,BBMeso2,5/7/16,M. cavernosa,27.8862,-93.30174,155,47.2,Mesophotic
MGM128,nwgom_134,MGM128,NWGOM,Bright,BBMeso2,5/7/16,M. cavernosa,27.8862,-93.30174,158,48.2,Mesophotic
MGM129,nwgom_135,MGM129,NWGOM,Bright,BBMeso2,5/7/16,M. cavernosa,27.8862,-93.30174,158,48.2,Mesophotic
MGM130,nwgom_136,MGM130,NWGOM,Bright,BBMeso2,5/7/16,M. cavernosa,27.8862,-93.30174,160,48.8,Mesophotic
MGM131,nwgom_137,MGM131,NWGOM,Bright,BBMeso2,5/7/16,M. cavernosa,27.8862,-93.30174,157,47.9,Mesophotic
MGM132,nwgom_139,MGM132,NWGOM,Bright,BBMeso2,5/7/16,M. cavernosa,27.8862,-93.30174,158,48.2,Mesophotic
MGM133,nwgom_140,MGM133,NWGOM,Bright,BBMeso2,5/7/16,M. cavernosa,27.8862,-93.30174,158,48.2,Mesophotic
MGM134,nwgom_141,MGM134,NWGOM,Bright,BBMeso2,5/7/16,M. cavernosa,27.8862,-93.30174,158,48.2,Mesophotic
MGM135,nwgom_142,MGM135,NWGOM,Bright,BBMeso2,5/7/16,M. cavernosa,27.8862,-93.30174,160,48.8,Mesophotic
MGM136,nwgom_143,MGM136,NWGOM,Bright,BBMeso2,7/10/15,M. cavernosa,27.8862,-93.30174,181,55.3,Mesophotic
MGM137,nwgom_144,MGM137,NWGOM,Bright,BBMeso2,9/30/16,M. cavernosa,27.8862,-93.30174,156,47.5,Mesophotic
MGM138,nwgom_145,MGM138,NWGOM,Bright,BBMeso2,9/30/16,M. cavernosa,27.8862,-93.30174,156,47.5,Mesophotic
MGM139,nwgom_146,MGM139,NWGOM,Bright,BBMeso2,9/30/16,M. cavernosa,27.8862,-93.30174,156,47.5,Mesophotic
MGM140,nwgom_147,MGM140,NWGOM,Bright,BBMeso2,9/30/16,M. cavernosa,27.8862,-93.30174,156,47.5,Mesophotic
MGM141,nwgom_148,MGM141,NWGOM,Bright,BBMeso2,9/30/16,M. cavernosa,27.8862,-93.30174,156,47.5,Mesophotic
MGM142,nwgom_149,MGM142,NWGOM,Bright,BBMeso2,9/30/16,M. cavernosa,27.8862,-93.30174,156,47.5,Mesophotic
MGM143,nwgom_150,MGM143,NWGOM,Bright,BBMeso2,9/30/16,M. cavernosa,27.8862,-93.30174,156,47.5,Mesophotic
MGM144,nwgom_152,MGM144,NWGOM,McGrail,MBMeso3,5/6/16,M. cavernosa,27.96299,-92.59262,159,48.5,Mesophotic
MGM145,nwgom_153,MGM145,NWGOM,McGrail,MBMeso3,5/6/16,M. cavernosa,27.96299,-92.59262,159,48.5,Mesophotic
MGM146,nwgom_154,MGM146,NWGOM,McGrail,MBMeso3,5/6/16,M. cavernosa,27.96299,-92.59262,160,48.8,Mesophotic
MGM147,nwgom_155,MGM147,NWGOM,McGrail,MBMeso3,5/6/16,M. cavernosa,27.96299,-92.59262,159,48.5,Mesophotic
MGM148,nwgom_156,MGM148,NWGOM,McGrail,MBMeso3,5/6/16,M. cavernosa,27.96299,-92.59262,160,48.8,Mesophotic
MGM149,nwgom_157,MGM149,NWGOM,McGrail,MBMeso3,5/6/16,M. cavernosa,27.96299,-92.59262,160,48.8,Mesophotic
MGM150,nwgom_158,MGM150,NWGOM,McGrail,MBMeso3,5/6/16,M. cavernosa,27.96299,-92.59262,160,48.8,Mesophotic
MGM151,nwgom_159,MGM151,NWGOM,McGrail,MBMeso3,5/6/16,M. cavernosa,27.96299,-92.59262,160,48.8,Mesophotic
MGM152,nwgom_160,MGM152,NWGOM,McGrail,MBMeso3,5/6/16,M. cavernosa,27.96299,-92.59262,158,48.2,Mesophotic
MGM153,nwgom_161,MGM153,NWGOM,McGrail,MBMeso3,5/6/16,M. cavernosa,27.96299,-92.59262,152,46.3,Mesophotic
MGM154,nwgom_162,MGM154,NWGOM,McGrail,MBMeso3,5/6/16,M. cavernosa,27.96299,-92.59262,150,45.7,Mesophotic
MGM155,nwgom_163,MGM155,NWGOM,McGrail,MBMeso3,5/6/16,M. cavernosa,27.96299,-92.59262,151,46,Mesophotic
MGM156,nwgom_164,MGM156,NWGOM,McGrail,MBMeso3,5/6/16,M. cavernosa,27.96299,-92.59262,152,46.3,Mesophotic
MGM157,nwgom_165,MGM157,NWGOM,McGrail,MBMeso3,5/6/16,M. cavernosa,27.96299,-92.59262,151,46,Mesophotic
MGM158,nwgom_166,MGM158,NWGOM,McGrail,MBMeso3,5/6/16,M. cavernosa,27.96299,-92.59262,151,46,Mesophotic
MGM159,nwgom_167,MGM159,NWGOM,McGrail,MBMeso3,5/6/16,M. cavernosa,27.96299,-92.59262,152,46.3,Mesophotic
MGM160,nwgom_168,MGM160,NWGOM,McGrail,MBMeso3,5/6/16,M. cavernosa,27.96299,-92.59262,152,46.3,Mesophotic
MGM161,nwgom_169,MGM161,NWGOM,McGrail,MBMeso4,7/7/15,M. cavernosa,27.96364,-92.59216,176,53.5,Mesophotic
MGM162,nwgom_170,MGM162,NWGOM,McGrail,MBMeso1,7/8/15,M. cavernosa,27.96235,-92.59369,164,50,Mesophotic
MGM163,nwgom_171,MGM163,NWGOM,McGrail,MBMeso1,7/8/15,M. cavernosa,27.96235,-92.59369,164,50,Mesophotic
MGM164,nwgom_172,MGM164,NWGOM,McGrail,MBMeso1,7/8/15,M. cavernosa,27.96235,-92.59369,167,51,Mesophotic
MGM165,nwgom_173,MGM165,NWGOM,McGrail,MBMeso5,7/8/15,M. cavernosa,27.96288,-92.59266,164,50,Mesophotic
MGM166,nwgom_174,MGM166,NWGOM,McGrail,MBMeso5,7/8/15,M. cavernosa,27.96288,-92.59266,159,48.5,Mesophotic
MGM167,nwgom_175,MGM167,NWGOM,McGrail,MBMeso5,7/8/15,M. cavernosa,27.96288,-92.59266,167,51,Mesophotic
MGM168,nwgom_176,MGM168,NWGOM,McGrail,MBMeso5,7/8/15,M. cavernosa,27.96288,-92.59266,174,53,Mesophotic
MGM169,nwgom_178,MGM169,NWGOM,McGrail,MBMeso6,7/8/15,M. cavernosa,27.96321,-92.59295,161,49,Mesophotic
MGM170,nwgom_179,MGM170,NWGOM,McGrail,MBMeso6,7/8/15,M. cavernosa,27.96321,-92.59295,157,48,Mesophotic
MGM171,nwgom_180,MGM171,NWGOM,McGrail,MBMeso6,7/8/15,M. cavernosa,27.96321,-92.59295,157,48,Mesophotic
OGM001,OGM001,OGM001,NWGOM,EFGB,EBMeso1,7/10/18,O. faveolata,27.91102,-93.59668,152,46.3,Mesophotic
OGM002,OGM002,OGM002,NWGOM,EFGB,EBMeso1,7/10/18,O. faveolata,27.91102,-93.59668,150,45.7,Mesophotic
OGM003,OGM003,OGM003,NWGOM,EFGB,EBMeso1,7/10/18,O. faveolata,27.91102,-93.59668,149,45.4,Mesophotic
OGM004,OGM004,OGM004,NWGOM,EFGB,EBMeso1,7/10/18,O. faveolata,27.91102,-93.59668,143,43.6,Mesophotic
OGM005,OGM005,OGM005,NWGOM,EFGB,EBMeso1,7/10/18,O. faveolata,27.91102,-93.59668,144,43.9,Mesophotic
OGM006,OGM006,OGM006,NWGOM,EFGB,EBMeso1,7/10/18,O. faveolata,27.91102,-93.59668,142,43.3,Mesophotic
OGM007,OGM007,OGM007,NWGOM,EFGB,EBMeso1,7/10/18,O. faveolata,27.91102,-93.59668,137,41.8,Mesophotic
OGM008,OGM008,OGM008,NWGOM,EFGB,EBMeso1,7/10/18,O. faveolata,27.91102,-93.59668,145,44.2,Mesophotic
OGM009,OGM009,OGM009,NWGOM,EFGB,EBMeso1,7/10/18,O. faveolata,27.91102,-93.59668,145,44.2,Mesophotic
OGM010,OGM010,OGM010,NWGOM,EFGB,EBMeso1,7/10/18,O. faveolata,27.91102,-93.59668,142,43.3,Mesophotic
OGM011,OGM011,OGM011,NWGOM,EFGB,EBMeso1,7/13/18,O. faveolata,27.91102,-93.59668,147,44.8,Mesophotic
OGM012,OGM012,OGM012,NWGOM,EFGB,EBMeso1,7/13/18,O. faveolata,27.91102,-93.59668,141,43,Mesophotic
OGM013,OGM013,OGM013,NWGOM,EFGB,EBMeso1,7/13/18,O. faveolata,27.91102,-93.59668,139,42.4,Mesophotic
OGM014,OGM014,OGM014,NWGOM,EFGB,EBMeso1,7/13/18,O. faveolata,27.91102,-93.59668,138,42.1,Mesophotic
OGM015,OGM015,OGM015,NWGOM,EFGB,EBMeso1,7/13/18,O. faveolata,27.91102,-93.59668,149,45.4,Mesophotic
OGM016,OGM016,OGM016,NWGOM,EFGB,EBMeso1,7/13/18,O. faveolata,27.91102,-93.59668,148,45.1,Mesophotic
OGM017,OGM017,OGM017,NWGOM,EFGB,EBMeso1,7/13/18,O. faveolata,27.91102,-93.59668,145,44.2,Mesophotic
OGM018,OGM018,OGM018,NWGOM,EFGB,EBMeso1,7/31/21,O. faveolata,27.91102,-93.59668,154,46.9,Mesophotic
OGM019,OGM019,OGM019,NWGOM,EFGB,EBMeso1,7/31/21,O. faveolata,27.91102,-93.59668,154,46.9,Mesophotic
OGM020,OGM020,OGM020,NWGOM,EFGB,EBMeso1,7/31/21,O. faveolata,27.91102,-93.59668,152,46.3,Mesophotic
OGM021,OGM021,OGM021,NWGOM,EFGB,EBMeso1,7/31/21,O. faveolata,27.91102,-93.59668,154,46.9,Mesophotic
OGM022,OGM022,OGM022,NWGOM,EFGB,EBShal1,7/31/21,O. faveolata,27.9114,-93.59821,73,22.3,Shallow
OGM023,OGM023,OGM023,NWGOM,EFGB,EBShal1,7/31/21,O. faveolata,27.9114,-93.59821,67,20.4,Shallow
OGM024.1,OGM024,OGM024,NWGOM,EFGB,EBShal1,7/31/21,O. faveolata,27.9114,-93.59821,67,20.4,Shallow
OGM024.2,OGM024.2,OGM024,NWGOM,EFGB,EBShal1,7/31/21,O. faveolata,27.9114,-93.59821,67,20.4,Shallow
OGM024.3,OGM024.3,OGM024,NWGOM,EFGB,EBShal1,7/31/21,O. faveolata,27.9114,-93.59821,67,20.4,Shallow
OGM025,OGM025,OGM025,NWGOM,EFGB,EBShal1,7/31/21,O. faveolata,27.9114,-93.59821,67,20.4,Shallow
OGM026,OGM026,OGM026,NWGOM,EFGB,EBShal1,7/31/21,O. faveolata,27.9114,-93.59821,65,19.8,Shallow
OGM027,OGM027,OGM027,NWGOM,EFGB,EBShal1,7/31/21,O. faveolata,27.9114,-93.59821,63,19.2,Shallow
OGM028,OGM029,OGM028,NWGOM,EFGB,EBShal1,7/31/21,O. faveolata,27.9114,-93.59821,61,18.6,Shallow
OGM029,OGM030,OGM029,NWGOM,EFGB,EBShal1,7/31/21,O. faveolata,27.9114,-93.59821,62,18.9,Shallow
OGM030,OGM031,OGM030,NWGOM,EFGB,EBMeso1,7/31/21,O. faveolata,27.91102,-93.59668,155,47.2,Mesophotic
OGM031,OGM032,OGM031,NWGOM,EFGB,EBMeso1,7/31/21,O. faveolata,27.91102,-93.59668,154,46.9,Mesophotic
OGM032,OGM033,OGM032,NWGOM,EFGB,EBMeso1,7/31/21,O. faveolata,27.91102,-93.59668,152,46.3,Mesophotic
OGM033,OGM034,OGM033,NWGOM,EFGB,EBMeso1,7/31/21,O. faveolata,27.91102,-93.59668,147,44.8,Mesophotic
OGM034,OGM036,OGM034,NWGOM,EFGB,EBShal1,7/31/21,O. faveolata,27.9114,-93.59821,68,20.7,Shallow
OGM035,OGM037,OGM035,NWGOM,EFGB,EBShal1,7/31/21,O. faveolata,27.9114,-93.59821,68,20.7,Shallow
OGM036,OGM040,OGM036,NWGOM,EFGB,EBShal1,7/31/21,O. faveolata,27.9114,-93.59821,63,19.2,Shallow
OGM037,OGM041,OGM037,NWGOM,EFGB,EBShal1,7/31/21,O. faveolata,27.9114,-93.59821,65,19.8,Shallow
