oldName,Sample
SGM040,SGM036
SGM041,SGM037
SGM042,SGM038
SGM043,SGM039
SGM044,SGM040
SGM045,SGM041
SGM046,SGM042
SGM047,SGM043
SGM048,SGM044
SGM049,SGM045
SGM050,SGM046
SGM050.2,SGM046.2
SGM050.3,SGM046.3
SGM051,SGM047
SGM052,SGM048
SGM053,SGM049
SGM054,SGM050
SGM055,SGM051
SGM056,SGM052
SGM057,SGM053
SGM058,SGM054
SGM059,SGM055
SGM060,SGM056
SGM061,SGM057
SGM062,SGM058
SGM063,SGM059
SGM064,SGM060
SGM065,SGM061
SGM066,SGM062
SGM067,SGM063
SGM068,SGM064
SGM069,SGM065
SGM070,SGM066
SGM071,SGM067
SGM072,SGM068
SGM073,SGM069
SGM074,SGM070
SGM075,SGM071
SGM076,SGM072
SGM077,SGM073
SGM078,SGM074
SGM079,SGM075
SGM080,SGM076
SGM081,SGM077
SGM083,SGM078
SGM084,SGM079
SGM085,SGM080
SGM086,SGM081
SGM088,SGM082
SGM089,SGM083
SGM090,SGM084
SGM091,SGM085
SGM092,SGM086
SGM093,SGM087
SGM095,SGM088
SGM096,SGM089
SGM097,SGM090
SGM098,SGM091
SGM099,SGM092
SGM100,SGM093
SGM101,SGM094
SGM102,SGM095
SGM103,SGM096
SGM104,SGM097
SGM106,SGM098
SGM107,SGM099
SGM108,SGM100
SGM109,SGM101
SGM110,SGM102
SGM114,SGM103
SGM115,SGM104
SGM116,SGM105
SGM118,SGM106
SGM119,SGM107
SGM121,SGM108
SGM122,SGM109
SGM124,SGM110
SGM125,SGM111
SGM126,SGM112
SGM128,SGM113
SGM129,SGM114
SGM130,SGM115
SGM131,SGM116
SGM132,SGM117
SGM133,SGM118
SGM134,SGM119
SGM135,SGM120
SGM136,SGM121
SGM138,SGM122
SGM139,SGM123
SGM140,SGM124
SGM141,SGM125
SGM142,SGM126
SGM143,SGM127
SGM144,SGM128
SGM145,SGM129
SGM146,SGM130
SGM148,SGM131
SGM149,SGM132
SGM150,SGM133
SGM151,SGM134
SGM152,SGM135
SGM153,SGM136
SGM154,SGM137
SGM155,SGM138
SGM156,SGM139
SGM158,SGM140
SGM159,SGM141
SGM160,SGM142
SGM161,SGM143
SGM162,SGM144
SGM163,SGM145
SGM164,SGM146
SGM165,SGM147
SGM166,SGM148
SGM167,SGM149
SGM168,SGM150
SGM169,SGM151
SGM170,SGM152
SGM170.2,SGM152.2
SGM170.3,SGM152.3
SGM171,SGM153
SGM172,SGM154
SGM173,SGM155
SGM174,SGM156
SGM175,SGM157
SGM176,SGM158
SGM177,SGM159
SGM178,SGM160
SGM179,SGM161
SGM180,SGM162
SGM181,SGM163
SGM182,SGM164
SGM183,SGM165
SGM184,SGM166
SGM186,SGM167
SGM187,SGM168
SGM189,SGM169
SGM190,SGM170
SGM192,SGM171
SGM193,SGM172
SGM194,SGM173
SGM195,SGM174
SGM197,SGM175
SGM199,SGM176
SGM200,SGM177
SGM201,SGM178
SGM203,SGM179
SGM204,SGM180
SGB002,SGM181
SGB004,SGM182
SGB005,SGM183
SGB006,SGM184
SGB007,SGM185
SGB008,SGM186
SGB008.2,SGM186.2
SGB008.3,SGM186.3
SGB009,SGM187
SGB010,SGM188
SGB011,SGM189
SGB012,SGM190
SGB013,SGM191
SGB015,SGM192
SGB016,SGM193
SGB017,SGM194
SGB018,SGM195
SGB019,SGM196
SGB020,SGM197
SGB020.2,SGM197.2
SGB020.3,SGM197.3
SGB021,SGM198
SGB022,SGM199
SGB023,SGM200
SGB024,SGM201
SGB025,SGM202
SGB026,SGM203
SGB027,SGM204
SGB028,SGM205
SGB029,SGM206
SGB029.2,SGM206.2
SGB029.3,SGM206.3
SGB030,SGM207
SGB031,SGM208
SGB032,SGM209
SGB033,SGM210
XGM001,XGM001
XGM002,XGM002
XGM003,XGM003
XGM005,XGM004
XGM006,XGM005
XGM007,XGM006
XGM008,XGM007
XGM009,XGM008
XGM010,XGM009
XGM011,XGM010
XGM014,XGM011
XGM015,XGM012
XGM016,XGM013
XGM017,XGM014
XGM018,XGM015
XGM019,XGM016
XGM020,XGM017
XGM021,XGM018
XGM022,XGM019
XGM023,XGM020
XGM024,XGM021
XGM025,XGM022
XGM026,XGM023
XGM027,XGM024
XGM028,XGM025
XGM029,XGM026
XGM030,XGM027
XGM031,XGM028
XGM032,XGM029
XGM033,XGM030
XGM034,XGM031
XGM035,XGM032
XGM036,XGM033
XGM037,XGM034
XGM037.2,XGM034.2
XGM037.3,XGM034.3
XGM038,XGM035
XGM039,XGM036
XGM040,XGM037
XGM041,XGM038
XGM043,XGM039
XGM044,XGM040
XGM045,XGM041
XGM046,XGM042
XGM047,XGM043
XGM048,XGM044
XGM050,XGM045
XGM051,XGM046
XGM052,XGM047
XGM053,XGM048
XGM055,XGM049
XGM056,XGM050
XGM057,XGM051
XGM058,XGM052
XGM059,XGM053
XGM060,XGM054
XGM061,XGM055
XGM062,XGM056
XGM063,XGM057
XGM064,XGM058
XGM065,XGM059
XGM067,XGM060
XGM068,XGM061
XGM069,XGM062
XGM070,XGM063
XGM071,XGM064
XGM072,XGM065
XGM073,XGM066
XGM074,XGM067
XGM075,XGM068
XGM076,XGM069
XGM077,XGM070
XGM078,XGM071
XGM079,XGM072
XGM079.2,XGM072.2
XGM079.3,XGM072.3
XGM080,XGM073
XGM082,XGM074
XGM083,XGM075
XGM084,XGM076
XGM085,XGM077
XGM086,XGM078
XGM087,XGM079
XGM088,XGM080
XGM089,XGM081
XGM090,XGM082
XGM091,XGM083
XGM092,XGM084
XGM093,XGM085
XGM094,XGM086
XGM095,XGM087
XGM096,XGM088
XGM097,XGM089
XGM098,XGM090
XGM099,XGM091
XGM100,XGM092
XGM101,XGM093
XGM102,XGM094
XGM103,XGM095
XGM104,XGM096
XGM105,XGM097
XGM106,XGM098
XGM107,XGM099
XGM109,XGM100
XGM110,XGM101
XGM111,XGM102
XGM112,XGM103
XGM113,XGM104
XGM114,XGM105
XGM115,XGM106
XGM116,XGM107
XGM117,XGM108
XGM118,XGM109
XGM119,XGM110
XGM120,XGM111
XGM122,XGM112
XGM123,XGM113
XGM124,XGM114
XGM125,XGM115
XGM127,XGM116
XGM128,XGM117
XGM129,XGM118
XGM131,XGM119
XGM132,XGM120
XGM133,XGM121
XGM134,XGM122
XGM135,XGM123
XGM136,XGM124
XGM139,XGM125
XGM140,XGM126
XGM141,XGM127
XGM142,XGM128
XGM143,XGM129
XGM144,XGM130
XGM145,XGM131
XGM146,XGM132
XGM147,XGM133
XGM148,XGM134
XGM150,XGM135
XGM151,XGM136
XGM152,XGM137
XGM153,XGM138
XGM156,XGM139
XGM157,XGM140
XGM158,XGM141
XGM159,XGM142
XGM160,XGM143
XGM161,XGM144
XGM162,XGM145
XGM164,XGM146
XGM168,XGM147
XGM169,XGM148
XGM170,XGM149
XGM171,XGM150
XGM172,XGM151
XGM173,XGM152
XGM174,XGM153
XGM175,XGM154
XGM179,XGM155
XGM181,XGM156
XGM182,XGM157
XGM183,XGM158
XGM183.2,XGM158.2
XGM183.3,XGM158.3
XGM184,XGM159
XGM185,XGM160
XGM186,XGM161
XGM187,XGM162
XGM188,XGM163
XGM189,XGM164
XGM190,XGM165
XGM191,XGM166
XGM192,XGM167
XGM193,XGM168
XGM194,XGM169
XGM195,XGM170
XGM196,XGM171
XGM197,XGM172
XGM198,XGM173
XGM199,XGM174
XGM200,XGM175
XGM202,XGM176
XGB001,XGM177
XGB002,XGM178
XGB003,XGM179
XGB003.2,XGM179.2
XGB003.3,XGM179.3
XGB004,XGM180
XGB005,XGM181
XGB006,XGM182
XGB007,XGM183
XGB008,XGM184
XGB009,XGM185
XGB010,XGM186
XGB011,XGM187
XGB012,XGM188
XGB013,XGM189
XGB014,XGM190
XGB015,XGM191
XGB016,XGM192
XGB017,XGM193
XGB017.2,XGM193.2
XGB017.3,XGM193.3
XGB018,XGM194
XGB019,XGM195
XGB020,XGM196
XGB021,XGM197
XGB022,XGM198
XGB023,XGM199
XGB024,XGM200
XGB025,XGM201
XGB026,XGM202
XGB027,XGM203
XGB027.2,XGM203.2
XGB027.3,XGM203.3
XGB028,XGM204
XGB029,XGM205
XGB030,XGM206
